fnEmailListUsesFeature.sql , No Dependencies,
fnGetCustomerAttributeBannerContentBlockIdentifier.sql , No Dependencies,
fnGetMailingLibraComponents.sql , No Dependencies,
fnGetTargetLibraComponents.sql , No Dependencies,
fnIsTestActive.sql , No Dependencies,
fnLogToGraphite.sql , No Dependencies,
fnWeighSeedAndSalt.sql , No Dependencies,
spCancelCleanup.sql , No Dependencies,
spCreateExternalUniqueID.sql , No Dependencies,
spLockAsyncListBuild.sql , No Dependencies,
spLogError.sql , No Dependencies,
spLogRunTimeFinishProcedure.sql , No Dependencies,
spLogRunTimeStartProcedure.sql , No Dependencies,
spSetCustomerAttributeStoreDynamicBannerData.sql , No Dependencies,
